"ID","LarvaID","PlateID","Row","Column","raceCladeName","raceCladeNumber","CladeName","cladeNumber","cladeGoTName","NestID","NestGoTName","Sibling","Comments","CreatedDate"
3,191,"NA","NA",,"NA",1,," 6","NA","NA","NA","NA","NA",30/7/2015 21:11:23
4,192,"NA","NA",,"NA",1,," 6","NA","NA","NA","NA","NA",30/7/2015 21:11:23
5,193,"NA","NA",,"NA",1,," 6","NA","NA","NA","NA","NA",30/7/2015 21:11:23
6,194,"NA","NA",,"NA",1,," 3","NA","NA","NA","NA","NA",30/7/2015 21:11:23
7,195,"NA","NA",,"NA",1,," 3","NA","NA","NA","NA","NA",30/7/2015 21:11:23
8,196,"NA","NA",,"NA",1,," 1","NA","NA","NA","NA","NA",30/7/2015 21:11:23
9,197,"NA","NA",,"NA",1,," 8","NA","NA","NA","NA","NA",30/7/2015 21:11:23
10,198,"NA","NA",,"NA",1,," 6","NA","NA","NA","NA","NA",30/7/2015 21:11:23
11,199,"NA","NA",,"NA",1,," 3","NA","NA","NA","NA","NA",30/7/2015 21:11:23
12,225,"NA","NA",,"NA",3,,"11","NA","NA","NA","NA","NA",30/7/2015 21:11:23
13,227,"NA","NA",,"NA",1,,"10","NA","NA","NA","NA","NA",30/7/2015 21:11:23
14,228,"NA","NA",,"NA",1,," 1","NA","NA","NA","NA","NA",30/7/2015 21:11:23
15,229,"NA","NA",,"NA",1,," 8","NA","NA","NA","NA","NA",30/7/2015 21:11:23
16,230,"NA","NA",,"NA",1,," 3","NA","NA","NA","NA","NA",30/7/2015 21:11:23
17,231,"NA","NA",,"NA",1,," 3","NA","NA","NA","NA","NA",30/7/2015 21:11:23
18,232,"NA","NA",,"NA",1,," 7","NA","NA","NA","NA","NA",30/7/2015 21:11:23
19,233,"NA","NA",,"NA",1,,"10","NA","NA","NA","NA","NA",30/7/2015 21:11:23
20,234,"NA","NA",,"NA",1,," 7","NA","NA","NA","NA","NA",30/7/2015 21:11:23
21,235,"NA","NA",,"NA",1,," 8","NA","NA","NA","NA","NA",30/7/2015 21:11:23
22,236,"NA","NA",,"NA",1,," 4","NA","NA","NA","NA","NA",30/7/2015 21:11:23
23,237,"NA","NA",,"NA",1,,"10","NA","NA","NA","NA","NA",30/7/2015 21:11:23
24,238,"NA","NA",,"NA",1,," 8","NA","NA","NA","NA","NA",30/7/2015 21:11:23
25,239,"NA","NA",,"NA",1,,"10","NA","NA","NA","NA","NA",30/7/2015 21:11:23
26,240,"NA","NA",,"NA",3,,"12","NA","NA","NA","NA","NA",30/7/2015 21:11:23
27,241,"NA","NA",,"NA",1,," 3","NA","NA","NA","NA","NA",30/7/2015 21:11:23
28,242,"NA","NA",,"NA",3,,"11","NA","NA","NA","NA","NA",30/7/2015 21:11:23
29,244,"NA","NA",,"NA",1,," 4","NA","NA","NA","NA","NA",30/7/2015 21:11:23
30,245,"NA","NA",,"NA",3,,"12","NA","NA","NA","NA","NA",30/7/2015 21:11:23
31,246,"NA","NA",,"NA",1,," 2","NA","NA","NA","NA","NA",30/7/2015 21:11:23
32,247,"NA","NA",,"NA",1,," 1","NA","NA","NA","NA","NA",30/7/2015 21:11:23
33,257,"NA","NA",,"NA",1,," 2","NA","NA","NA","NA","NA",30/7/2015 21:11:23
34,258,"NA","NA",,"NA",1,," 7","NA","NA","NA","NA","NA",30/7/2015 21:11:23
35,259,"NA","NA",,"NA",1,," 3","NA","NA","NA","NA","NA",30/7/2015 21:11:23
36,260,"NA","NA",,"NA",1,," 9","NA","NA","NA","NA","NA",30/7/2015 21:11:23
37,261,"NA","NA",,"NA",1,," 2","NA","NA","NA","NA","NA",30/7/2015 21:11:23
38,270,"NA","NA",,"NA",1,," 8","NA","NA","NA","NA","NA",30/7/2015 21:11:23
39,271,"NA","NA",,"NA",1,," 8","NA","NA","NA","NA","NA",30/7/2015 21:11:23
40,272,"NA","NA",,"NA",3,,"12","NA","NA","NA","NA","NA",30/7/2015 21:11:23
41,273,"NA","NA",,"NA",1,," 2","NA","NA","NA","NA","NA",30/7/2015 21:11:23
42,274,"NA","NA",,"NA",1,," 8","NA","NA","NA","NA","NA",30/7/2015 21:11:23
43,275,"NA","NA",,"NA",1,," 7","NA","NA","NA","NA","NA",30/7/2015 21:11:23
44,276,"NA","NA",,"NA",1,," 7","NA","NA","NA","NA","NA",30/7/2015 21:11:23
45,277,"NA","NA",,"NA",1,," 8","NA","NA","NA","NA","NA",30/7/2015 21:11:23
46,278,"NA","NA",,"NA",1,," 8","NA","NA","NA","NA","NA",30/7/2015 21:11:23
47,279,"NA","NA",,"NA",1,," 8","NA","NA","NA","NA","NA",30/7/2015 21:11:23
48,185,"NA","NA",,"NA",1,," 3","NA","NA","NA","NA","NA",30/7/2015 21:11:23
49,186,"NA","NA",,"NA",1,," 3","NA","NA","NA","NA","NA",30/7/2015 21:11:23
50,187,"NA","NA",,"NA",1,," 3","NA","NA","NA","NA","NA",30/7/2015 21:11:23
51,188,"NA","NA",,"NA",1,," 3","NA","NA","NA","NA","NA",30/7/2015 21:11:23
52,189,"NA","NA",,"NA",1,," 3","NA","NA","NA","NA","NA",30/7/2015 21:11:23
53,190,"NA","NA",,"NA",1,," 3","NA","NA","NA","NA","NA",30/7/2015 21:11:23
54,200,"NA","NA",,"NA",1,," 3","NA","NA","NA","NA","NA",30/7/2015 21:11:23
55,201,"NA","NA",,"NA",1,," 3","NA","NA","NA","NA","NA",30/7/2015 21:11:23
56,202,"NA","NA",,"NA",1,," 8","NA","NA","NA","NA","NA",30/7/2015 21:11:23
57,203,"NA","NA",,"NA",1,," 8","NA","NA","NA","NA","NA",30/7/2015 21:11:23
58,204,"NA","NA",,"NA",1,," 3","NA","NA","NA","NA","NA",30/7/2015 21:11:23
59,205,"NA","NA",,"NA",1,," 3","NA","NA","NA","NA","NA",30/7/2015 21:11:23
60,250,"NA","NA",,"NA",1,," 2","NA","NA","NA","NA","NA",30/7/2015 21:11:23
61,254,"NA","NA",,"NA",1,," 2","NA","NA","NA","NA","NA",30/7/2015 21:11:23
62,255,"NA","NA",,"NA",1,," 2","NA","NA","NA","NA","NA",30/7/2015 21:11:23
63,256,"NA","NA",,"NA",1,," 2","NA","NA","NA","NA","NA",30/7/2015 21:11:23
64,206,"NA","NA",,"NA",1,," 9","NA","NA","NA","NA","NA",30/7/2015 21:11:23
65,207,"NA","NA",,"NA",1,," 9","NA","NA","NA","NA","NA",30/7/2015 21:11:23
66,208,"NA","NA",,"NA",1,," 7","NA","NA","NA","NA","NA",30/7/2015 21:11:23
67,209,"NA","NA",,"NA",1,," 7","NA","NA","NA","NA","NA",30/7/2015 21:11:23
68,210,"NA","NA",,"NA",1,," 9","NA","NA","NA","NA","NA",30/7/2015 21:11:23
69,211,"NA","NA",,"NA",1,," 9","NA","NA","NA","NA","NA",30/7/2015 21:11:23
70,212,"NA","NA",,"NA",1,," 6","NA","NA","NA","NA","NA",30/7/2015 21:11:23
71,213,"NA","NA",,"NA",1,," 9","NA","NA","NA","NA","NA",30/7/2015 21:11:23
72,214,"NA","NA",,"NA",1,," 6","NA","NA","NA","NA","NA",30/7/2015 21:11:23
73,215,"NA","NA",,"NA",1,," 9","NA","NA","NA","NA","NA",30/7/2015 21:11:23
74,216,"NA","NA",,"NA",1,," 1","NA","NA","NA","NA","NA",30/7/2015 21:11:23
75,217,"NA","NA",,"NA",1,," 9","NA","NA","NA","NA","NA",30/7/2015 21:11:23
76,218,"NA","NA",,"NA",1,," 4","NA","NA","NA","NA","NA",30/7/2015 21:11:23
77,219,"NA","NA",,"NA",1,," 9","NA","NA","NA","NA","NA",30/7/2015 21:11:23
78,220,"NA","NA",,"NA",1,," 9","NA","NA","NA","NA","NA",30/7/2015 21:11:23
79,223,"NA","NA",,"NA",1,," 3","NA","NA","NA","NA","NA",30/7/2015 21:11:23
80,224,"NA","NA",,"NA",1,," 9","NA","NA","NA","NA","NA",30/7/2015 21:11:23
81,263,"NA","NA",,"NA",1,," 1","NA","NA","NA","NA","NA",30/7/2015 21:11:23
82,264,"NA","NA",,"NA",1,," 8","NA","NA","NA","NA","NA",30/7/2015 21:11:23
83,265,"NA","NA",,"NA",1,," 6","NA","NA","NA","NA","NA",30/7/2015 21:11:23
84,266,"NA","NA",,"NA",1,," 6","NA","NA","NA","NA","NA",30/7/2015 21:11:23
85,226,"NA","NA",,"NA",1,," 4","NA","NA","NA","NA","NA",30/7/2015 21:11:23
86,267,"NA","NA",,"NA",1,," 7","NA","NA","NA","NA","NA",30/7/2015 21:11:23
87,268,"NA","NA",,"NA",2,," 5","NA","NA","NA","NA","NA",30/7/2015 21:11:23
88,280,"NA","NA",,"NA",1,," 7","NA","NA","NA","NA","NA",30/7/2015 21:11:23
